Date,Statement
10/05/1999,"
The Federal Open Market Committee decided today to leave its target for the federal funds rate unchanged.   
Strengthening productivity growth has been fostering favorable trends in unit costs and prices and much recent information suggests that these trends have been sustained.  
 Nonetheless the growth of demand has continued to outpace that of supply as evidenced by a decreasing pool of available workers willing to take jobs.   In these circumstances the Federal Open Market Committee will need to be especially alert in the months ahead to the potential for costs to increase significantly in excess of productivity in a manner that could contribute to inflation pressures and undermine the impressive performance of the economy. 
Against this background the Committee adopted a directive that was biased toward a possible firming of policy going forward.   Committee members emphasized that such a directive did not signify a commitment to near-term action.   The Committee will need to evaluate additional information on the balance of aggregate supply and demand and conditions in financial markets.   
 
"
18/05/1999,"
		While the FOMC did not take action today to alter the stance of monetary policy the Committee was concerned about the potential for a buildup of inflationary imbalances that could undermine the favorable performance of the economy and therefore adopted a directive that is tilted toward the possibility of a  firming in the stance of monetary policy.   Trend increases in costs and core prices have generally remained quite subdued.   But domestic financial markets have recovered and foreign economic prospects have improved since the easing of monetary policy last fall.   Against the background of already-tight domestic labor markets and ongoing strength in demand in excess of productivity gains the Committee recognizes the need to be alert to developments over coming months that might indicate that financial conditions may no longer be consistent with containing inflation. 
 
"
30/06/1999,"
	Labor markets have continued to tighten over recent quarters but strengthening productivity growth has contained inflationary pressures. 
	Owing to the uncertain resolution of the balance of conflicting forces in the economy going forward the FOMC has chosen to adopt a directive that includes no predilection about near-term policy action.   The Committee nonetheless recognizes that in the current dynamic environment it must be especially alert to the emergence or potential emergence of inflationary forces that could undermine economic growth. 
 
"
24/08/1999,"
	  With financial markets functioning more normally and with persistent strength in domestic demand foreign economies firming and labor markets remaining very tight  the degree of monetary ease required to address the global financial market turmoil of last fall is no longer consistent with sustained noninflationary  economic expansion.    
	Today's increase in the federal funds rate together with the policy action in June and the firming of conditions more generally in U. S.  financial markets over recent months should markedly diminish the risk of rising inflation going forward.   As a consequence the directive the Federal Open Market Committee adopted is symmetrical with regard to the outlook for policy over the near term. 
	In taking the discount rate action the Federal Reserve Board approved requests submitted by the Boards of Directors of the Federal Reserve Banks of Boston New York Philadelphia Cleveland Richmond Atlanta Chicago St.  Louis Kansas City  and San Francisco.   The discount rate is the interest rate that is charged depository institutions when they borrow from their district Federal Reserve Banks.  
 
"
16/11/1999,"
	The Federal Open Market Committee today voted to raise its target for the federal funds rate by 25 basis points to 5-1/2 percent.   In a related action the Board of Governors approved a 25 basis point increase in the discount rate to 5 percent. 
Although cost pressures appear generally contained risks to sustainable growth persist.  Despite tentative evidence of a slowing in certain interest-sensitive sectors of the economy and of accelerating productivity the expansion of activity continues in excess of the economy's growth potential.   As a consequence the pool of available workers willing to take jobs has been drawn down further in recent months a trend that must eventually be contained if inflationary imbalances are to remain in check and economic expansion continue. 
Today's increase in the federal funds rate together with the policy actions in June and August and the firming of conditions more generally in U. S.  financial markets over the course of the year should markedly diminish the risk of inflation going forward.   As a consequence the directive the Federal Open Market Committee adopted is symmetrical with regard to the outlook for policy over the near term. 
In taking the discount rate action the Federal Reserve Board approved requests submitted by the Boards of Directors of the Federal Reserve Banks of Boston Cleveland Richmond and Kansas City.   The discount rate is the rate charged depository institutions when they borrow short-term adjustment credit from their district Federal Reserve Banks. 
 
"
21/12/1999,"
The Federal Open Market Committee made no change today in its target for the federal funds rate. 
  
Based on the available evidence however the Committee remains concerned with the possibility that over time increases in demand will continue to exceed the growth in potential supply even after taking account of the remarkable rise in productivity growth.   Such trends could foster inflationary imbalances that would undermine the economy's exemplary performance.  
 
Nonetheless in light of market uncertainties associated with the century date change the Committee decided to adopt a symmetric directive in order to indicate that the focus of policy in the intermeeting period must be ensuring a smooth transition into the Year 2000.   At its next meeting the Committee will assess available information on the likely balance of supply and demand conditions in financial markets and the possible need for adjustment in the stance of policy to contain inflationary pressures. 
 
"
02/02/2000,"
The Federal Open Market Committee voted today to raise its target for the federal funds rate by 25 basis points to 5-3/4 percent.   In a related action the Board of Governors approved a 25 basis point increase in the discount rate to 5-1/4 percent. 
  
The Committee remains concerned that over time increases in demand will continue to exceed the growth in potential supply even after taking account of the pronounced rise in productivity growth.   Such trends could foster inflationary imbalances that would undermine the economy's record economic expansion. 
  
Against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available the Committee believes the risks are weighted mainly toward conditions that may generate heightened inflation pressures in the foreseeable future. 
	In taking the discount rate action the Federal Reserve Board approved requests submitted by the Boards of Directors of the Federal Reserve Banks of Boston New York Philadelphia Cleveland Richmond Atlanta Chicago St.  Louis Kansas City and San Francisco.   The discount rate is the rate charged depository institutions when they borrow short-term adjustment credit from their district Federal Reserve Banks. 
 
"
10/03/2000,"
The Federal Open Market Committee at its meeting today decided to maintain the existing stance of monetary policy keeping its target for the federal funds rate at 6-1/2 percent. 
Recent data have indicated that the expansion of aggregate demand has moderated to a pace closer to the enhanced rate of growth of the economy's potential to produce.  The more rapid advances in productivity also continue to help contain costs and hold down underlying price pressures. 
  
However the utilization of the pool of available workers remains at an unusually high level.  Moreover the increase in energy prices though having limited effect on core measures of prices to date poses a risk of raising inflation expectations.   The subdued behavior of those expectations so far has contributed importantly to maintaining an environment conducive to maximum sustainable growth.  
 
Against the background of its long-term goals of price stability and sustainable economic growth and of the information currently available the Committee believes the risks continue to be weighted mainly toward conditions that may generate heightened inflation pressures in the future.   
 
"
21/03/2000,"
The Federal Open Market Committee voted today to raise its target for the federal funds rate by 25 basis points to 6 percent.  In a related action the Board of Governors approved a 25 basis point increase in the discount rate to 5-1/2 percent.  
Economic conditions and considerations addressed by the Committee are essentially the same as when the Committee met in February.  The Committee remains concerned that increases in demand will continue to exceed the growth in potential supply which could foster inflationary imbalances that would undermine the economy's record economic expansion. 
 
Against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available the Committee believes the risks are weighted mainly toward conditions that may generate heightened inflation pressures in the foreseeable future.  
In taking the discount rate action the Federal Reserve Board approved requests submitted by the Boards of Directors of the Federal Reserve Banks of Boston New York Philadelphia Cleveland Richmond Atlanta Chicago St.  Louis Minneapolis Kansas City and San Francisco.  The discount rate is the rate charged depository institutions when they borrow short-term adjustment credit from their district Federal Reserve Banks.  
  
"
16/05/2000,"
The Federal Open Market Committee voted today to raise its target for the federal funds rate by 50 basis points to 6-1/2 percent.   In a related action the Board of Governors approved a 50 basis point increase in the discount rate to 6 percent. 
Increases in demand have remained in excess of even the rapid pace of productivity-driven gains in potential supply exerting continued pressure on resources.   The Committee is concerned that this disparity in the growth of demand and potential supply will continue which could foster inflationary imbalances that would undermine the economy's outstanding performance. 
Against the background of its long-term goals of price stability and sustainable economic growth and of the information already available the Committee believes the risks are weighted mainly toward conditions that may generate heightened inflation pressures in the foreseeable future. 
	In taking the discount rate action the Federal Reserve Board approved requests submitted by the Boards of Directors of the Federal Reserve Banks of Boston Cleveland Richmond and San Francisco.   The discount rate is the rate charged depository institutions when they borrow short-term adjustment credit from their district Federal Reserve Banks. 
 
"
28/06/2000,"
The Federal Open Market Committee at its meeting today decided to maintain the existing stance of monetary policy keeping its target for the federal funds rate at 6-1/2 percent.   
Recent data suggest that the expansion of aggregate demand may be moderating toward a pace closer to the rate of growth of the economy's potential to produce.   Although core measures of prices are rising slightly faster than a year ago continuing rapid advances in productivity have been containing costs and holding down underlying price pressures.    
Nonetheless signs that growth in demand is moving to a sustainable pace are still tentative and preliminary and the utilization of the pool of available workers remains at an unusually high level. 
In these circumstances and against the background of its long-term goals of price stability and sustainable economic growth and of the information currently available the Committee believes the risks continue to be weighted mainly toward conditions that may generate heightened inflation pressures in the foreseeable future. 
 
"
22/08/2000,"
	The Federal Open Market Committee at its meeting today decided to maintain the existing stance of monetary policy keeping its target for the federal funds rate at 6-1/2 percent. 
	Recent data have indicated that the expansion of aggregate demand is moderating toward a pace closer to the rate of growth of the economy's potential to produce.   The data also have indicated that more rapid advances in productivity have been raising that potential growth rate as well as containing costs and holding down underlying price pressures. 
	Nonetheless the Committee remains concerned about the risk of a continuing gap between the growth of demand and potential supply at a time when the utilization of the pool of available workers remains at an unusually high level. 
	Against the background of its long-term goals of price stability and sustainable economic growth and of the information currently available the Committee believes the risks continue to be weighted mainly toward conditions that may generate heightened inflation pressures in the foreseeable future. 
 
"
15/11/2000,"
The Federal Open Market Committee at its meeting today decided to maintain the existing stance of monetary policy keeping its target for the federal funds rate at 6-1/2 percent.  
The utilization of the pool of available workers remains at an unusually high level and the increase in energy prices though having limited effect on core measures of prices to date still harbors the possibility of raising inflation expectations.  The Committee accordingly continues to see a risk of heightened inflation pressures.  However softening in business and household demand and tightening conditions in financial markets over recent months suggest that the economy could expand for a time at a pace below the productivity-enhanced rate of growth of its potential to produce.   
  
Nonetheless to date the easing of demand pressures has not been sufficient to warrant a change in the Committee's judgment that against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available the risks continue to be weighted mainly toward conditions that may generate heightened inflation pressures in the foreseeable future.  
 
"
19/12/2000,"
The Federal Open Market Committee at its meeting today decided to maintain the existing stance of monetary policy keeping its target for the federal funds rate at 6-1/2 percent.  
The drag on demand and profits from rising energy costs as well as eroding consumer confidence reports of substantial shortfalls in sales and earnings and stress in some segments of the financial markets suggest that economic growth may be slowing further.   While some inflation risks persist they are diminished by the more moderate pace of economic activity and by the absence of any indication that longer-term inflation expectations have increased.   The Committee will continue to monitor closely the evolving economic situation.   
Against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available the Committee consequently believes that the risks are weighted mainly toward conditions that may generate economic weakness in the foreseeable future.   
 
"
31/01/2001,"
The Federal Open Market Committee at its meeting today decided to lower its target for the federal funds rate by 50 basis points to 5-1/2 percent.  In a related action the Board of Governors approved a 50 basis point reduction in the discount rate to 5 percent.   
 Consumer and business confidence has eroded further exacerbated by rising energy costs that continue to drain consumer purchasing power and press on business profit margins.   Partly as a consequence retail sales and business spending on capital equipment have weakened appreciably.  In response manufacturing production has been cut back sharply with new technologies appearing to have accelerated the response of production and demand to potential excesses in the stock of inventories and capital equipment.   
Taken together and with inflation contained these circumstances have called for a rapid and forceful response of monetary policy.   The longer-term advances in technology and accompanying gains in productivity however exhibit few signs of abating and these gains along with the lower interest rates should support growth of the economy over time.   
Nonetheless the Committee continues to believe that against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available the risks are weighted mainly toward conditions that may generate economic weakness in the foreseeable future.   
In taking the discount rate action the Federal Reserve Board approved requests submitted by the Boards of Directors of the Federal Reserve Banks of New York Philadelphia Cleveland Atlanta Chicago St.  Louis Minneapolis Dallas and San Francisco.   
 
"
10/02/2001,"
The Federal Open Market Committee decided today to lower its target for the federal funds rate by 50 basis points to 2-1/2 percent.  In a related action the Board of Governors approved a 50 basis point reduction in the discount rate to 2 percent. 
The terrorist attacks have significantly heightened uncertainty in an economy that was already weak.   Business and household spending as a consequence are being further damped.   Nonetheless the long-term prospects for productivity growth and the economy remain favorable and should become evident once the unusual forces restraining demand abate.  
The Committee continues to believe that against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available the risks are weighted mainly toward conditions that may generate economic weakness in the foreseeable future. 
       In taking the discount rate action the Federal Reserve Board approved requests 
        submitted by the Boards of Directors of the Federal Reserve Banks of Boston 
        New York Cleveland Richmond Atlanta St.  Louis Kansas City and San 
        Francisco.  
      
        
         
      "
01/03/2001,"
